run_id,kind,device_label,runtime,model_name,app_package,prompt,requested_backend,reported_backends,done_marker,has_summary,measure_rows,ok_measure_rows,strict_backend_valid,validity_note,mean_tok_s,mean_ttft_ms,battery_peak_temp_c,thermal_peak_any_c,charging_contaminated,run_dir
20260528-235519-magicv5-litertlm-gemma4-main-long-long-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok_usb_powered,55.84,59.9458,34.0,90.3,True,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-long-long-r1
20260528-235519-magicv5-litertlm-gemma4-main-long-long-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok_usb_powered,50.8607,61.2365,36.0,88.8,True,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-long-long-r2
20260528-235519-magicv5-litertlm-gemma4-main-long-long-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok_usb_powered,50.5388,63.9362,37.0,88.8,True,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-long-long-r3
20260528-235519-magicv5-litertlm-gemma4-main-medium-medium-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok_usb_powered,46.3819,46.0935,32.0,72.6,True,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-medium-medium-r1
20260528-235519-magicv5-litertlm-gemma4-main-medium-medium-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok_usb_powered,46.6558,47.5165,33.0,76.4,True,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-medium-medium-r2
20260528-235519-magicv5-litertlm-gemma4-main-medium-medium-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok_usb_powered,45.7985,45.8899,34.0,75.7,True,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-medium-medium-r3
20260528-235519-magicv5-litertlm-gemma4-main-short-short-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok_usb_powered,46.65,48.9314,32.0,61.7,True,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-short-short-r1
20260528-235519-magicv5-litertlm-gemma4-main-short-short-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok_usb_powered,46.9942,47.5642,32.0,67.2,True,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-short-short-r2
20260528-235519-magicv5-litertlm-gemma4-main-short-short-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok_usb_powered,46.3741,47.2677,32.0,66.8,True,01-sustained-mobile-inference\logs\runs\20260528-235519-magicv5-litertlm-gemma4-main-short-short-r3
20260528-magicv5-litertlm-gemma4-batch-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,,NPU,NPU,True,True,5,5,True,ok,57.6301,43.5358,37.0,82.6,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-batch-r1
